ticker_symbol,updated_ticker_for_data,status,ric,data_points,start_date,end_date,latest_price,min_price,max_price,avg_price,total_return_pct,avg_daily_change_pct
AAPL,AAPL,STILL_TRADING,AAPL.O,4045,2010-01-04,2026-02-02,286.19,6.86,286.19,80.78,4072.52,0.11
ADI,ADI,STILL_TRADING,ADI.O,4045,2010-01-04,2026-02-02,318.7,26.5,318.7,105.45,1102.64,0.08
ADI,ADI,STILL_TRADING,DIKA.PA^L15,1508,2010-01-04,2015-12-23,27.15,7.4,27.15,14.62,266.89,0.02
ADI,ADI,STILL_TRADING,ADI.AX^I10,140,2010-01-04,2010-08-03,0.42,0.15,0.42,0.31,170.97,0.79
AEM,AEM,STILL_TRADING,AEMU.KL,3617,2010-01-04,2026-01-30,13.02,0.04,13.02,1.45,37099.98,0.23
AEM,AEM,STILL_TRADING,AEMV.VI^B17,629,2010-01-12,2017-02-24,11.49,4.4,11.49,8.01,161.02,0.35
ALE,ALE,STILL_TRADING,ALE,4012,2010-01-04,2025-12-12,88.17,30.5,88.17,57.98,189.08,0.04
ALE,ALE,STILL_TRADING,ALEP.WA,1326,2020-10-12,2026-02-02,94.64,18.37,94.64,38.62,415.13,-0.03
ALE,ALE,STILL_TRADING,ALE.CD,821,2019-06-12,2026-01-29,2.78,0.0,2.78,0.34,55478.0,0.89
ALK,ALK,STILL_TRADING,ALK.AX,4049,2010-01-04,2026-02-03,2.6,0.18,2.6,0.64,1348.05,0.12
ALK,ALK,STILL_TRADING,ALK,4045,2010-01-04,2026-02-02,100.24,7.83,100.24,47.97,1179.39,0.08
ALK,ALK,STILL_TRADING,ALKE.MI,1890,2017-12-05,2025-07-09,22.9,3.91,22.9,11.37,485.68,0.02
ALK,ALK,STILL_TRADING,ALKN.L^J15,1471,2010-01-04,2015-10-28,0.51,0.15,0.51,0.26,240.0,0.08
ALK,ALK,STILL_TRADING,ALKALK.L,1096,2021-09-27,2026-02-02,4.18,0.36,4.18,1.47,1061.11,0.4
ALK,ALK,STILL_TRADING,ALKP.WA^F18,780,2011-05-06,2017-05-16,6.63,0.42,6.63,2.35,1478.57,-0.18
AMGN,AMGN,STILL_TRADING,AMGN.O,4045,2010-01-04,2026-02-02,351.32,48.27,351.32,178.91,627.82,0.07
AMP,AMP,STILL_TRADING,APE.MC,4115,2010-01-04,2026-02-02,0.77,0.04,0.77,0.2,1675.4,0.06
AMP,AMP,STILL_TRADING,AMPF.MI,4085,2010-01-04,2026-02-02,47.45,2.82,47.45,16.18,1583.82,0.06
AMP,AMP,STILL_TRADING,AMP.AX,4069,2010-01-04,2026-02-03,6.79,0.85,6.79,3.43,698.82,0.0
AMP,AMP,STILL_TRADING,AMP,4045,2010-01-04,2026-02-02,575.13,35.83,575.13,187.21,1505.16,0.09
AMP,AMP,STILL_TRADING,AMAMP.L^A20,2397,2010-01-04,2019-07-01,0.16,0.0,0.16,0.04,10899.99,0.06
AMZN,Amazon.com Inc (independent),STILL_TRADING,AMZN.O,4045,2010-01-04,2026-02-02,254.0,5.43,254.0,81.35,4577.29,0.11
AZN,AZN,STILL_TRADING,AZN.L,4063,2010-01-04,2026-02-02,143.46,25.43,143.46,64.4,464.03,0.06
BKNG,BKNG,STILL_TRADING,BKNG.O,4045,2010-01-04,2026-02-02,5815.92,175.19,5815.92,1873.83,3219.78,0.1
BMY,BMY,STILL_TRADING,BLPU.L,4063,2010-01-04,2026-02-02,7.54,0.88,7.54,2.57,752.56,0.07
BMY,BMY,STILL_TRADING,BMY,4045,2010-01-04,2026-02-02,81.13,22.44,81.13,52.29,261.54,0.04
CSCO,CSCO,STILL_TRADING,CSCO.O,4045,2010-01-04,2026-02-02,80.64,13.73,80.64,37.91,487.33,0.05
CVX,CVX,STILL_TRADING,CVX,4045,2010-01-04,2026-02-02,188.05,54.22,188.05,118.36,246.83,0.05
EFC,Ellington Financial (surviving company),MERGED,EFC,3852,2010-10-08,2026-02-02,26.79,3.9,26.79,17.23,586.92,0.06
GOOGL,GOOGL,STILL_TRADING,GOOGL.O,4045,2010-01-04,2026-02-02,343.69,10.91,343.69,72.06,3049.56,0.09
GSK,GSK,STILL_TRADING,GSK.L,4063,2010-01-04,2026-02-02,19.25,11.06,19.25,14.93,74.05,0.04
GSK,GSK,STILL_TRADING,GSKGn.BE^I11,390,2010-01-27,2011-08-31,0.21,0.0,0.21,0.05,20900.0,3.72
JNJ,JNJ,STILL_TRADING,JNJ,4045,2010-01-04,2026-02-02,230.75,57.02,230.75,122.97,304.68,0.05
LLY,LLY,STILL_TRADING,LLY,4045,2010-01-04,2026-02-02,1109.94,32.25,1109.94,220.41,3341.67,0.11
LUMN,LUMN,STILL_TRADING,LUMN.K,4045,2010-01-04,2026-02-02,46.8,0.98,46.8,21.43,4675.02,0.04
MDT,MDT,STILL_TRADING,MDT,4045,2010-01-04,2026-02-02,135.17,30.41,135.17,77.08,344.49,0.04
MDT,MDT,STILL_TRADING,MDTP.WA,1684,2017-11-10,2026-02-02,4.05,0.08,4.05,0.71,5015.38,0.37
META,META,STILL_TRADING,METAm.BK,3622,2011-03-09,2026-02-03,7.57,0.05,7.57,1.59,15043.17,0.0
META,META,STILL_TRADING,META.O,3446,2012-05-18,2026-02-02,790.0,17.73,790.0,223.57,4355.98,0.12
META,META,STILL_TRADING,META.JK,3361,2010-01-04,2023-11-07,331.05,69.17,331.05,176.04,378.57,0.06
META,META,STILL_TRADING,METAC.ST,1834,2018-10-11,2026-02-02,6.18,0.07,6.18,1.29,8182.02,0.21
MRK,MRK,STILL_TRADING,MRCG.F,4084,2010-01-04,2026-02-02,229.4,28.41,229.4,100.2,707.46,0.05
MRK,MRK,STILL_TRADING,MRK,4045,2010-01-04,2026-02-02,132.96,28.42,132.96,67.05,367.76,0.05
MRK,MRK,STILL_TRADING,MRKP.WA,1737,2011-11-02,2026-02-02,17.0,0.08,17.0,2.63,21150.0,0.06
MRK,MRK,STILL_TRADING,MRKM.L,1069,2021-11-05,2026-02-02,1.28,0.44,1.28,0.75,187.64,-0.06
MS,MS,STILL_TRADING,MS,4045,2010-01-04,2026-02-02,191.23,12.36,191.23,56.05,1447.17,0.08
MS,MS,STILL_TRADING,MSTN.MI,345,2024-07-29,2026-02-02,3.94,1.98,3.94,2.88,98.49,-0.07
MSFT,Microsoft Corporation (independent),STILL_TRADING,MSFT.O,4045,2010-01-04,2026-02-02,542.07,23.01,542.07,157.68,2255.8,0.08
NVDA,NVDA,STILL_TRADING,NVDA.O,4045,2010-01-04,2026-02-02,207.04,0.22,207.04,23.55,93135.04,0.19
PFE,PFE,STILL_TRADING,PFE,4045,2010-01-04,2026-02-02,61.25,13.4,61.25,31.19,356.95,0.04
PFE,PFE,STILL_TRADING,PFE.AX,998,2021-08-05,2026-02-03,0.39,0.01,0.39,0.09,3754.48,-0.02
PFE,PFE,STILL_TRADING,PAPF.LS^G11,0,None,None,,,,,,
RAMP,RAMP,STILL_TRADING,RAMP.K,4045,2010-01-04,2026-02-02,85.96,9.14,85.96,29.15,839.97,0.05
RAMP,RAMP,STILL_TRADING,RAMP.V,496,2021-04-16,2026-02-02,1.73,0.14,1.73,0.68,1093.1,0.61
RKT,RKT,STILL_TRADING,RKT.L,4063,2010-01-04,2026-02-02,81.2,29.51,81.2,54.44,175.14,0.04
RKT,RKT,STILL_TRADING,RKT^G15,1383,2010-01-04,2015-07-01,71.1,19.01,71.1,40.15,273.92,0.09
RKT,RKT,STILL_TRADING,RKT,1379,2020-08-06,2026-02-02,41.6,6.28,41.6,14.24,562.42,0.08
RKT,RKT,STILL_TRADING,RKT.AX,1247,2018-06-22,2026-02-03,0.19,0.01,0.19,0.03,3149.99,0.13
RKT,RKT,STILL_TRADING,RCKT.MI,828,2022-02-28,2026-02-02,1.15,0.24,1.15,0.47,373.59,-0.08
RTX,RTX,STILL_TRADING,RTX,4045,2010-01-04,2026-02-02,201.92,37.29,201.92,75.26,441.51,0.06
RTX,RTX,STILL_TRADING,RTX.CO,3957,2010-01-04,2026-02-02,290.0,5.5,290.0,101.94,5172.73,0.11
SHEL,SHEL,STILL_TRADING,SHEL.L,4063,2010-01-04,2026-02-02,29.46,9.0,29.46,21.36,227.33,0.04
TDY,TDY,STILL_TRADING,TDY,4045,2010-01-04,2026-02-02,625.32,35.98,625.32,231.24,1637.97,0.08
TLRY,TLRY,STILL_TRADING,TLRY.O,1895,2018-07-19,2026-02-02,2140.6,3.6,2140.6,159.52,59361.11,0.06
TSLA,TSLA,STILL_TRADING,TSLA.O,3923,2010-06-29,2026-02-02,489.88,1.05,489.88,100.98,46407.58,0.21
TTWO,TTWO,STILL_TRADING,TTWO.O,4045,2010-01-04,2026-02-02,262.29,7.82,262.29,89.87,3254.09,0.1
V,V,STILL_TRADING,V,4045,2010-01-04,2026-02-02,373.31,16.37,373.31,138.43,2180.45,0.08
V,V,STILL_TRADING,V.PS,2639,2010-01-04,2026-02-03,1.43,0.49,1.43,0.86,190.48,0.06
VECO,VECO,STILL_TRADING,VECO.O,4045,2010-01-04,2026-02-02,57.59,6.51,57.59,26.26,784.64,0.05
VTRS,VTRS,STILL_TRADING,VTRS.O,4045,2010-01-04,2026-02-02,76.06,7.26,76.06,26.3,947.66,0.02
WBD,WBD,STILL_TRADING,WBD.MI,4085,2010-01-04,2026-02-02,5.14,0.69,5.14,2.59,642.77,0.05
WBD,WBD,STILL_TRADING,WBD.O,4045,2010-01-04,2026-02-02,77.27,6.71,77.27,24.75,1051.56,0.05
WOLF,WOLF,STILL_TRADING,WOLF.K,3958,2010-01-04,2025-09-26,141.87,0.4,141.87,47.23,35474.22,0.03
WOLF,WOLF,STILL_TRADING,WOLFG.F,975,2022-04-01,2026-02-02,4.04,2.54,4.04,3.48,59.18,0.03
WOLF,WOLF,STILL_TRADING,WOLF.O^E12,590,2010-01-04,2012-05-04,8.06,1.81,8.06,2.9,345.3,0.24
WOLF,WOLF,STILL_TRADING,WOLFT.VI,222,2019-01-30,2026-01-14,21.2,4.0,21.2,12.34,430.0,0.51
XOM,XOM,STILL_TRADING,XOM,4045,2010-01-04,2026-02-02,141.4,31.45,141.4,84.64,349.6,0.04
